# value	current [nA]
0	0.009000
1	0.015000
2	0.032250
3	0.046500
4	0.060000
5	0.075000
6	0.090750
7	0.104250
8	0.118500
9	0.134250
10	0.144000
11	0.161250
12	0.172500
13	0.183750
14	0.202500
15	0.216750
16	0.228750
17	0.243750
18	0.261750
19	0.273750
20	0.285750
21	0.301500
22	0.312750
23	0.330000
24	0.345000
25	0.353250
26	0.370500
27	0.382500
28	0.399000
29	0.408750
30	0.423750
31	0.439500
32	0.450000
33	0.467250
34	0.480000
35	0.491250
36	0.507750
37	0.517500
38	0.538500
39	0.547500
40	0.562500
41	0.574500
42	0.589500
43	0.603750
44	0.616500
45	0.633000
46	0.645000
47	0.661500
48	0.670500
49	0.687000
50	0.699000
51	0.715500
52	0.725250
53	0.740250
54	0.753000
55	0.768750
56	0.780750
57	0.794250
58	0.809250
59	0.822750
60	0.837000
61	0.850500
62	0.862500
63	0.877500
64	0.888000
65	0.905250
66	0.915750
67	0.930000
68	0.945750
69	0.957000
70	0.967500
71	0.985500
72	0.996750
73	1.009500
74	1.023000
75	1.039500
76	1.053750
77	1.065000
78	1.076250
79	1.096500
80	1.110000
81	1.122000
82	1.131750
83	1.146750
84	1.161000
85	1.176000
86	1.187250
87	1.199250
88	1.213500
89	1.228500
90	1.242000
91	1.249500
92	1.266000
93	1.281000
94	1.295250
95	1.306500
96	1.317000
97	1.334250
98	1.350000
99	1.361250
100	1.374750
101	1.385250
102	1.399500
103	1.413750
104	1.430250
105	1.442250
106	1.451250
107	1.465500
108	1.484250
109	1.494000
110	1.506750
111	1.520250
112	1.533750
113	1.544250
114	1.560750
115	1.573500
116	1.584750
117	1.600500
118	1.614000
119	1.626750
120	1.640250
121	1.654500
122	1.668000
123	1.677750
124	1.692000
125	1.704750
126	1.716750
127	1.731750
128	1.745250
129	1.758750
130	1.774500
131	1.788750
132	1.794750
133	1.810500
134	1.822500
135	1.839750
136	1.846500
137	1.863000
138	1.874250
139	1.886250
140	1.902000
141	1.914000
142	1.929000
143	1.942500
144	1.955250
145	1.971750
146	1.981500
147	1.995750
148	2.008500
149	2.022000
150	2.036250
151	2.051250
152	2.061750
153	2.074500
154	2.086500
155	2.098500
156	2.115750
157	2.129250
158	2.142000
159	2.156250
160	2.169000
161	2.181000
162	2.193750
163	2.204250
164	2.220750
165	2.233500
166	2.246250
167	2.261250
168	2.274750
169	2.283750
170	2.301000
171	2.315250
172	2.323500
173	2.340000
174	2.352750
175	2.364000
176	2.376000
177	2.390250
178	2.402250
179	2.418000
180	2.430000
181	2.439750
182	2.457000
183	2.470500
184	2.484000
185	2.495250
186	2.505750
187	2.522250
188	2.535000
189	2.546250
190	2.559750
191	2.570250
192	2.583750
193	2.598000
194	2.613000
195	2.625750
196	2.639250
197	2.653500
198	2.664000
199	2.675250
200	2.691750
201	2.706750
202	2.719500
203	2.730750
204	2.745000
205	2.755500
206	2.771250
207	2.782500
208	2.793000
209	2.807250
210	2.819250
211	2.835750
212	2.849250
213	2.859750
214	2.872500
215	2.886750
216	2.900250
217	2.911500
218	2.925750
219	2.936250
220	2.950500
221	2.963250
222	2.976000
223	2.989500
224	3.003000
225	3.015000
226	3.027000
227	3.034500
228	3.034500
229	3.035250
230	3.035250
231	3.035250
232	3.036000
233	3.036000
234	3.036750
235	3.036000
236	3.036000
237	3.036000
238	3.036750
239	3.036000
240	3.036000
241	3.036000
242	3.036750
243	3.036750
244	3.036750
245	3.036750
246	3.036750
247	3.036750
248	3.036750
249	3.036750
250	3.036750
251	3.036750
252	3.036750
253	3.036750
254	3.036750
255	3.036750
