# value	voltage [V]
0	0.003440
1	0.010320
2	0.017200
3	0.023650
4	0.030530
5	0.037410
6	0.044290
7	0.050740
8	0.058050
9	0.064930
10	0.071810
11	0.078260
12	0.085140
13	0.092020
14	0.098900
15	0.105350
16	0.112230
17	0.119110
18	0.125990
19	0.132870
20	0.139320
21	0.146200
22	0.152650
23	0.159530
24	0.166410
25	0.173290
26	0.179740
27	0.186190
28	0.193500
29	0.199950
30	0.206830
31	0.213280
32	0.220160
33	0.227040
34	0.233920
35	0.240370
36	0.246820
37	0.253700
38	0.260580
39	0.267030
40	0.273480
41	0.280790
42	0.287240
43	0.294120
44	0.301000
45	0.307020
46	0.314330
47	0.320780
48	0.327230
49	0.334540
50	0.340990
51	0.347870
52	0.354320
53	0.360770
54	0.367650
55	0.374530
56	0.380980
57	0.387860
58	0.394310
59	0.401190
60	0.407640
61	0.414090
62	0.420970
63	0.427850
64	0.433870
65	0.441180
66	0.447630
67	0.454510
68	0.460960
69	0.467840
70	0.474290
71	0.481170
72	0.487620
73	0.494070
74	0.500950
75	0.507830
76	0.514280
77	0.520300
78	0.527610
79	0.534060
80	0.540510
81	0.547820
82	0.554270
83	0.561150
84	0.567600
85	0.574480
86	0.580930
87	0.587380
88	0.593830
89	0.600710
90	0.607160
91	0.614040
92	0.620490
93	0.626940
94	0.633390
95	0.640270
96	0.647150
97	0.653600
98	0.659620
99	0.666500
100	0.673810
101	0.679830
102	0.687140
103	0.693160
104	0.699610
105	0.706490
106	0.712510
107	0.719820
108	0.726700
109	0.732290
110	0.738740
111	0.745620
112	0.752500
113	0.758950
114	0.765400
115	0.771420
116	0.777870
117	0.784320
118	0.791630
119	0.797650
120	0.804530
121	0.810550
122	0.817000
123	0.822590
124	0.829900
125	0.835490
126	0.843230
127	0.849250
128	0.856130
129	0.861720
130	0.869030
131	0.875910
132	0.881500
133	0.887950
134	0.893110
135	0.900850
136	0.906870
137	0.912460
138	0.918910
139	0.926220
140	0.932670
141	0.937400
142	0.945140
143	0.950300
144	0.956750
145	0.961050
146	0.967500
147	0.975240
148	0.981260
149	0.985990
150	0.993300
151	0.999320
152	1.006200
153	1.013080
154	1.019100
155	1.022540
156	1.031570
157	1.036730
158	1.045330
159	1.049630
160	1.054360
161	1.061670
162	1.069410
163	1.074570
164	1.082310
165	1.087470
166	1.093920
167	1.100800
168	1.108110
169	1.114560
170	1.121010
171	1.128320
172	1.135200
173	1.140790
174	1.148530
175	1.154980
176	1.161860
177	1.168310
178	1.176050
179	1.182070
180	1.188520
181	1.196260
182	1.202710
183	1.209590
184	1.216900
185	1.223350
186	1.229800
187	1.236250
188	1.243130
189	1.250870
190	1.257750
191	1.264200
192	1.270650
193	1.278390
194	1.284410
195	1.291290
196	1.298600
197	1.304620
198	1.311500
199	1.319670
200	1.324830
201	1.332570
202	1.339020
203	1.345900
204	1.352780
205	1.359660
206	1.366970
207	1.373420
208	1.379870
209	1.387180
210	1.394060
211	1.400510
212	1.406960
213	1.414700
214	1.421150
215	1.427600
216	1.434480
217	1.441360
218	1.448240
219	1.455120
220	1.461570
221	1.468880
222	1.475760
223	1.481350
224	1.489090
225	1.496400
226	1.502850
227	1.509730
228	1.516610
229	1.523060
230	1.529940
231	1.536820
232	1.543270
233	1.550580
234	1.557030
235	1.564340
236	1.570360
237	1.577670
238	1.584980
239	1.591000
240	1.598310
241	1.605190
242	1.612070
243	1.618520
244	1.625830
245	1.632280
246	1.639160
247	1.645610
248	1.652060
249	1.659800
250	1.666250
251	1.672700
252	1.680010
253	1.686890
254	1.693340
255	1.701080
