# value	voltage [V]
0	0.003440
1	0.010750
2	0.017200
3	0.024080
4	0.030530
5	0.037410
6	0.044290
7	0.051170
8	0.058050
9	0.064930
10	0.071810
11	0.078260
12	0.085140
13	0.091590
14	0.098900
15	0.105350
16	0.112230
17	0.119110
18	0.125990
19	0.132870
20	0.139750
21	0.146200
22	0.153080
23	0.159530
24	0.166840
25	0.172860
26	0.179740
27	0.186620
28	0.193500
29	0.199950
30	0.206830
31	0.213280
32	0.220590
33	0.227040
34	0.233920
35	0.240370
36	0.246820
37	0.253700
38	0.260580
39	0.267030
40	0.273910
41	0.280790
42	0.287240
43	0.294120
44	0.300570
45	0.307450
46	0.314330
47	0.320780
48	0.327230
49	0.334110
50	0.340990
51	0.347440
52	0.354320
53	0.360770
54	0.368080
55	0.374100
56	0.380980
57	0.387860
58	0.394310
59	0.400760
60	0.407640
61	0.414090
62	0.420970
63	0.427420
64	0.434300
65	0.440750
66	0.447630
67	0.454510
68	0.460530
69	0.467840
70	0.474290
71	0.480740
72	0.487190
73	0.494070
74	0.500950
75	0.507400
76	0.513850
77	0.520300
78	0.527610
79	0.534060
80	0.540940
81	0.547820
82	0.554270
83	0.560720
84	0.567600
85	0.574050
86	0.580930
87	0.587380
88	0.593830
89	0.600280
90	0.607160
91	0.614040
92	0.620490
93	0.627370
94	0.633390
95	0.639840
96	0.646720
97	0.653600
98	0.660050
99	0.666500
100	0.672950
101	0.679830
102	0.686280
103	0.692730
104	0.699610
105	0.706060
106	0.712510
107	0.718960
108	0.725840
109	0.732720
110	0.738740
111	0.745190
112	0.752070
113	0.758950
114	0.765830
115	0.770990
116	0.778300
117	0.785180
118	0.790340
119	0.797650
120	0.803670
121	0.809690
122	0.816570
123	0.823020
124	0.829900
125	0.835920
126	0.842800
127	0.848820
128	0.856130
129	0.862580
130	0.867310
131	0.874620
132	0.880210
133	0.888380
134	0.892680
135	0.899990
136	0.906870
137	0.911170
138	0.918910
139	0.924500
140	0.932240
141	0.938260
142	0.943850
143	0.950730
144	0.957180
145	0.964060
146	0.969220
147	0.975240
148	0.983410
149	0.985990
150	0.995450
151	1.000610
152	1.004910
153	1.010500
154	1.017810
155	1.024690
156	1.031140
157	1.038450
158	1.043180
159	1.048340
160	1.056080
161	1.062960
162	1.067690
163	1.075430
164	1.081020
165	1.088760
166	1.095210
167	1.102090
168	1.108110
169	1.113700
170	1.121440
171	1.127890
172	1.134340
173	1.141650
174	1.148530
175	1.154980
176	1.162290
177	1.168740
178	1.175620
179	1.182070
180	1.189380
181	1.195830
182	1.202710
183	1.210020
184	1.216040
185	1.223780
186	1.229800
187	1.236680
188	1.243130
189	1.250870
190	1.257750
191	1.264200
192	1.270650
193	1.279250
194	1.284410
195	1.290430
196	1.299460
197	1.305480
198	1.311930
199	1.319240
200	1.326550
201	1.332140
202	1.339450
203	1.346760
204	1.352780
205	1.360090
206	1.366540
207	1.373420
208	1.380300
209	1.388040
210	1.394060
211	1.400940
212	1.407390
213	1.414270
214	1.421580
215	1.428030
216	1.435340
217	1.441790
218	1.449530
219	1.455550
220	1.462430
221	1.468880
222	1.476190
223	1.482640
224	1.490380
225	1.495970
226	1.502850
227	1.510160
228	1.517040
229	1.522630
230	1.530370
231	1.536820
232	1.544130
233	1.551010
234	1.557890
235	1.563910
236	1.571220
237	1.577670
238	1.584980
239	1.591860
240	1.599170
241	1.606050
242	1.612930
243	1.618950
244	1.625830
245	1.632710
246	1.639160
247	1.646040
248	1.653350
249	1.660230
250	1.666680
251	1.673560
252	1.680010
253	1.686890
254	1.693340
255	1.701080
