# value	voltage [V]
0	0.379260
1	0.386140
2	0.392590
3	0.399470
4	0.406350
5	0.412800
6	0.419250
7	0.426560
8	0.433010
9	0.439890
10	0.446770
11	0.453650
12	0.460100
13	0.466980
14	0.473860
15	0.480310
16	0.487190
17	0.494070
18	0.500950
19	0.507830
20	0.514280
21	0.521160
22	0.528040
23	0.534060
24	0.541370
25	0.547820
26	0.554700
27	0.561580
28	0.567600
29	0.574910
30	0.581360
31	0.588240
32	0.595120
33	0.601570
34	0.608450
35	0.615330
36	0.622210
37	0.628660
38	0.635540
39	0.641990
40	0.648870
41	0.655320
42	0.662200
43	0.669080
44	0.675960
45	0.681980
46	0.688860
47	0.695740
48	0.702620
49	0.709070
50	0.715520
51	0.722400
52	0.729280
53	0.735730
54	0.742180
55	0.749060
56	0.755940
57	0.762390
58	0.768840
59	0.776150
60	0.782600
61	0.789480
62	0.795930
63	0.802810
64	0.809260
65	0.816140
66	0.823020
67	0.829470
68	0.836350
69	0.842800
70	0.849680
71	0.856560
72	0.863010
73	0.869890
74	0.876340
75	0.883220
76	0.890100
77	0.896550
78	0.903000
79	0.910310
80	0.916760
81	0.923640
82	0.930090
83	0.936970
84	0.943420
85	0.950300
86	0.956750
87	0.963630
88	0.970080
89	0.976960
90	0.983840
91	0.990720
92	0.997600
93	1.004050
94	1.010930
95	1.016950
96	1.024260
97	1.030710
98	1.037160
99	1.044040
100	1.051350
101	1.057370
102	1.064250
103	1.070700
104	1.077580
105	1.084460
106	1.090910
107	1.097790
108	1.104670
109	1.111550
110	1.118000
111	1.124880
112	1.131330
113	1.137780
114	1.144660
115	1.151110
116	1.157990
117	1.164870
118	1.171750
119	1.178630
120	1.185080
121	1.191530
122	1.197980
123	1.204860
124	1.212170
125	1.218190
126	1.225070
127	1.231950
128	1.238400
129	1.245280
130	1.251730
131	1.258610
132	1.265490
133	1.271940
134	1.278390
135	1.285270
136	1.292150
137	1.298600
138	1.305050
139	1.311500
140	1.318380
141	1.325260
142	1.332140
143	1.338590
144	1.345040
145	1.351920
146	1.358370
147	1.365250
148	1.371700
149	1.378580
150	1.385030
151	1.391910
152	1.398360
153	1.404810
154	1.411690
155	1.418140
156	1.424590
157	1.431900
158	1.438350
159	1.444800
160	1.451680
161	1.458130
162	1.465010
163	1.471460
164	1.478340
165	1.484790
166	1.491670
167	1.497690
168	1.504570
169	1.511020
170	1.517900
171	1.524350
172	1.530800
173	1.537250
174	1.544130
175	1.550580
176	1.556600
177	1.563480
178	1.569930
179	1.575950
180	1.582400
181	1.588420
182	1.594870
183	1.600460
184	1.606480
185	1.612500
186	1.618520
187	1.624110
188	1.629270
189	1.634860
190	1.640020
191	1.645180
192	1.650340
193	1.655500
194	1.660230
195	1.664530
196	1.669260
197	1.673130
198	1.677000
199	1.681300
200	1.685170
201	1.688180
202	1.691620
203	1.694630
204	1.697640
205	1.700220
206	1.702800
207	1.704950
208	1.707100
209	1.708820
210	1.710540
211	1.711400
212	1.712260
213	1.712690
214	1.712690
215	1.713120
216	1.713550
217	1.713550
218	1.713550
219	1.713550
220	1.713550
221	1.713980
222	1.713980
223	1.713980
224	1.713980
225	1.713980
226	1.713550
227	1.713550
228	1.713980
229	1.713980
230	1.713980
231	1.713980
232	1.713980
233	1.713980
234	1.713980
235	1.713980
236	1.713980
237	1.713980
238	1.713980
239	1.713980
240	1.713980
241	1.713980
242	1.713980
243	1.713980
244	1.713980
245	1.713980
246	1.713980
247	1.713980
248	1.713980
249	1.713980
250	1.714840
251	1.713980
252	1.713980
253	1.713980
254	1.713980
255	1.713980
