#time	analog (mA)	digital (mA)	status
2022-02-01 13:35:00.319833	15.47	79.76	1
2022-02-01 13:35:00.420912	15.71	80.65	1
2022-02-01 13:35:00.521846	14.66	79.12	1
2022-02-01 13:35:00.622880	14.82	79.52	1
2022-02-01 13:35:00.723812	14.18	79.76	1
2022-02-01 13:35:00.824750	15.31	80.00	1
2022-02-01 13:35:00.925770	14.34	79.20	1
2022-02-01 13:35:01.026693	14.82	78.63	1
2022-02-01 13:35:01.127606	14.82	79.68	1
2022-02-01 13:35:01.228550	15.23	78.87	1
2022-02-01 13:35:01.329475	14.99	80.08	1
2022-02-01 13:35:01.430518	14.34	79.52	1
2022-02-01 13:35:01.531485	14.50	79.44	1
2022-02-01 13:35:01.632423	14.58	79.76	1
2022-02-01 13:35:01.733357	14.66	79.84	1
2022-02-01 13:35:01.834292	14.66	79.76	1
2022-02-01 13:35:01.935304	14.74	79.68	1
2022-02-01 13:35:02.036272	14.50	78.87	1
2022-02-01 13:35:02.137183	14.58	79.44	1
2022-02-01 13:35:02.238088	14.50	79.44	1
2022-02-01 13:35:02.339004	14.26	78.79	1
2022-02-01 13:35:02.440025	15.23	78.07	1
2022-02-01 13:35:02.540963	15.23	79.44	1
2022-02-01 13:35:02.641882	15.07	79.84	1
2022-02-01 13:35:02.742780	14.58	80.00	1
2022-02-01 13:35:02.843685	14.58	80.08	1
2022-02-01 13:35:02.944667	15.31	80.41	1
2022-02-01 13:35:03.045580	14.74	79.84	1
2022-02-01 13:35:03.146482	15.23	80.57	1
2022-02-01 13:35:03.247379	14.90	79.52	1
2022-02-01 13:35:03.348311	15.15	79.60	1
2022-02-01 13:35:03.449349	14.90	79.04	1
2022-02-01 13:35:03.550295	14.50	79.44	1
2022-02-01 13:35:03.651225	13.94	79.92	1
2022-02-01 13:35:03.752162	14.99	80.08	1
2022-02-01 13:35:03.853128	15.55	80.08	1
2022-02-01 13:35:03.954167	14.90	79.68	1
2022-02-01 13:35:04.055079	14.99	79.12	1
2022-02-01 13:35:04.156009	14.34	79.68	1
2022-02-01 13:35:04.256926	14.74	79.12	1
2022-02-01 13:35:04.357830	15.15	79.44	1
2022-02-01 13:35:04.458846	14.90	79.84	1
2022-02-01 13:35:04.559777	14.02	79.28	1
2022-02-01 13:35:04.660691	14.74	79.36	1
2022-02-01 13:35:04.761616	14.50	80.08	1
2022-02-01 13:35:04.863552	15.71	78.96	1
2022-02-01 13:35:04.965753	15.07	80.00	1
2022-02-01 13:35:05.067751	14.82	79.44	1
2022-02-01 13:35:05.169875	15.71	79.60	1
2022-02-01 13:35:05.271908	14.66	79.36	1
