#time	analog (mA)	digital (mA)	status
2022-02-01 14:03:16.478798	14.82	63.65	1
2022-02-01 14:03:16.579908	14.42	63.41	1
2022-02-01 14:03:16.680846	14.34	63.16	1
2022-02-01 14:03:16.781788	15.07	62.92	1
2022-02-01 14:03:16.882707	13.94	63.24	1
2022-02-01 14:03:16.983631	14.42	63.57	1
2022-02-01 14:03:17.084649	14.10	63.65	1
2022-02-01 14:03:17.185574	14.18	63.16	1
2022-02-01 14:03:17.286486	13.70	63.00	1
2022-02-01 14:03:17.387386	14.34	63.73	1
2022-02-01 14:03:17.488318	14.42	63.33	1
2022-02-01 14:03:17.589334	14.18	63.33	1
2022-02-01 14:03:17.690269	14.50	63.73	1
2022-02-01 14:03:17.791187	15.07	63.08	1
2022-02-01 14:03:17.892123	14.58	63.16	1
2022-02-01 14:03:17.993029	13.86	63.65	1
2022-02-01 14:03:18.094033	14.02	63.49	1
2022-02-01 14:03:18.194948	14.58	63.65	1
2022-02-01 14:03:18.295871	15.71	63.81	1
2022-02-01 14:03:18.396809	15.39	63.97	1
2022-02-01 14:03:18.497715	15.15	63.57	1
2022-02-01 14:03:18.598717	14.02	62.92	1
2022-02-01 14:03:18.699728	14.50	63.33	1
2022-02-01 14:03:18.800735	14.34	63.24	1
2022-02-01 14:03:18.901676	14.42	63.24	1
2022-02-01 14:03:19.002585	13.94	63.73	1
2022-02-01 14:03:19.103590	14.50	63.89	1
2022-02-01 14:03:19.204538	13.94	63.57	1
2022-02-01 14:03:19.305442	14.42	63.41	1
2022-02-01 14:03:19.406344	15.31	63.89	1
2022-02-01 14:03:19.507241	15.15	63.73	1
2022-02-01 14:03:19.608302	14.10	62.44	1
2022-02-01 14:03:19.709233	14.34	63.08	1
2022-02-01 14:03:19.810152	14.34	63.33	1
2022-02-01 14:03:19.911056	14.50	63.33	1
2022-02-01 14:03:20.011972	14.18	63.65	1
2022-02-01 14:03:20.112967	14.10	63.73	1
2022-02-01 14:03:20.213913	14.34	63.81	1
2022-02-01 14:03:20.314831	14.58	63.00	1
2022-02-01 14:03:20.415729	14.74	63.89	1
2022-02-01 14:03:20.516635	13.94	64.13	1
2022-02-01 14:03:20.617627	14.34	63.33	1
2022-02-01 14:03:20.718545	14.58	63.41	1
2022-02-01 14:03:20.819490	13.78	63.41	1
2022-02-01 14:03:20.920417	14.18	63.81	1
2022-02-01 14:03:21.021396	14.58	63.49	1
2022-02-01 14:03:21.123482	14.26	63.65	1
2022-02-01 14:03:21.225517	14.26	64.29	1
2022-02-01 14:03:21.327526	13.94	63.41	1
2022-02-01 14:03:21.429782	13.86	63.41	1
