#time	analog (mA)	digital (mA)	status
2022-01-31 14:18:36.221491	13.94	65.74	1
2022-01-31 14:18:36.322598	14.66	65.82	1
2022-01-31 14:18:36.423534	13.45	66.31	1
2022-01-31 14:18:36.524512	14.74	65.90	1
2022-01-31 14:18:36.625437	14.02	65.58	1
2022-01-31 14:18:36.726355	14.18	65.50	1
2022-01-31 14:18:36.827364	14.66	64.94	1
2022-01-31 14:18:36.928322	14.26	65.98	1
2022-01-31 14:18:37.029237	14.50	64.94	1
2022-01-31 14:18:37.130158	13.70	65.66	1
2022-01-31 14:18:37.231084	13.86	65.82	1
2022-01-31 14:18:37.332093	14.18	65.50	1
2022-01-31 14:18:37.433114	14.26	66.23	1
2022-01-31 14:18:37.534079	14.99	65.66	1
2022-01-31 14:18:37.635014	14.34	65.74	1
2022-01-31 14:18:37.735923	14.74	65.18	1
2022-01-31 14:18:37.836929	14.18	66.06	1
2022-01-31 14:18:37.937846	14.90	65.10	1
2022-01-31 14:18:38.038753	14.18	65.90	1
2022-01-31 14:18:38.139663	15.15	66.15	1
2022-01-31 14:18:38.240585	14.42	66.31	1
2022-01-31 14:18:38.341598	13.78	65.42	1
2022-01-31 14:18:38.442517	14.10	66.06	1
2022-01-31 14:18:38.543445	14.58	65.18	1
2022-01-31 14:18:38.644390	14.10	65.90	1
2022-01-31 14:18:38.745300	14.34	66.31	1
2022-01-31 14:18:38.846294	14.99	65.50	1
2022-01-31 14:18:38.947215	14.34	66.06	1
2022-01-31 14:18:39.048150	14.74	65.42	1
2022-01-31 14:18:39.149073	14.58	66.23	1
2022-01-31 14:18:39.249979	14.90	65.90	1
2022-01-31 14:18:39.350976	14.66	65.90	1
2022-01-31 14:18:39.451918	13.86	65.18	1
2022-01-31 14:18:39.552841	13.86	66.31	1
2022-01-31 14:18:39.653765	14.90	65.74	1
2022-01-31 14:18:39.754673	14.34	67.11	1
2022-01-31 14:18:39.855670	14.42	65.66	1
2022-01-31 14:18:39.956598	14.26	66.47	1
2022-01-31 14:18:40.057506	14.18	65.90	1
2022-01-31 14:18:40.158410	14.58	65.82	1
2022-01-31 14:18:40.259340	14.58	66.06	1
2022-01-31 14:18:40.360351	14.26	67.03	1
2022-01-31 14:18:40.461270	14.50	65.10	1
2022-01-31 14:18:40.562187	13.94	65.74	1
2022-01-31 14:18:40.663094	14.26	65.74	1
2022-01-31 14:18:40.765108	13.86	65.74	1
2022-01-31 14:18:40.867252	13.54	65.98	1
2022-01-31 14:18:40.969348	14.50	65.98	1
2022-01-31 14:18:41.071371	12.97	65.58	1
2022-01-31 14:18:41.173430	13.62	65.58	1
