#time	analog (mA)	digital (mA)	status
2022-01-31 14:36:15.452919	14.99	77.34	1
2022-01-31 14:36:15.554024	14.90	78.15	1
2022-01-31 14:36:15.654975	14.74	77.42	1
2022-01-31 14:36:15.755933	14.58	77.50	1
2022-01-31 14:36:15.856867	14.90	77.75	1
2022-01-31 14:36:15.957778	15.47	77.99	1
2022-01-31 14:36:16.058784	14.34	77.59	1
2022-01-31 14:36:16.159700	14.99	78.55	1
2022-01-31 14:36:16.260610	14.90	77.50	1
2022-01-31 14:36:16.361552	14.90	78.79	1
2022-01-31 14:36:16.462473	14.66	78.07	1
2022-01-31 14:36:16.563473	14.42	77.91	1
2022-01-31 14:36:16.664436	14.34	78.07	1
2022-01-31 14:36:16.765362	14.66	77.02	1
2022-01-31 14:36:16.866273	14.50	78.31	1
2022-01-31 14:36:16.967179	14.99	78.79	1
2022-01-31 14:36:17.068231	14.50	78.23	1
2022-01-31 14:36:17.169154	14.66	78.47	1
2022-01-31 14:36:17.270060	14.26	77.67	1
2022-01-31 14:36:17.370977	14.26	77.26	1
2022-01-31 14:36:17.471903	14.26	77.83	1
2022-01-31 14:36:17.572909	14.90	77.50	1
2022-01-31 14:36:17.673841	14.74	76.54	1
2022-01-31 14:36:17.774743	14.42	78.63	1
2022-01-31 14:36:17.875655	14.99	78.07	1
2022-01-31 14:36:17.976561	14.50	77.99	1
2022-01-31 14:36:18.077567	14.50	77.34	1
2022-01-31 14:36:18.178491	14.90	77.99	1
2022-01-31 14:36:18.279424	14.99	77.91	1
2022-01-31 14:36:18.380369	14.42	78.23	1
2022-01-31 14:36:18.481276	15.39	77.99	1
2022-01-31 14:36:18.582268	15.07	79.04	1
2022-01-31 14:36:18.683186	14.66	78.55	1
2022-01-31 14:36:18.784201	14.99	78.15	1
2022-01-31 14:36:18.885139	15.31	78.39	1
2022-01-31 14:36:18.986065	14.58	77.67	1
2022-01-31 14:36:19.087089	14.99	77.75	1
2022-01-31 14:36:19.188063	14.18	77.83	1
2022-01-31 14:36:19.288987	15.31	77.91	1
2022-01-31 14:36:19.389933	14.99	78.23	1
2022-01-31 14:36:19.490847	14.82	78.39	1
2022-01-31 14:36:19.591876	14.90	78.31	1
2022-01-31 14:36:19.692806	15.07	78.15	1
2022-01-31 14:36:19.793737	14.90	77.91	1
2022-01-31 14:36:19.894664	14.42	78.79	1
2022-01-31 14:36:19.996680	14.74	78.31	1
2022-01-31 14:36:20.098878	15.15	78.55	1
2022-01-31 14:36:20.201011	14.99	77.99	1
2022-01-31 14:36:20.303033	14.26	78.63	1
2022-01-31 14:36:20.405143	14.82	78.31	1
