#time	analog (mA)	digital (mA)	status
2022-01-31 14:56:00.982143	15.31	65.02	1
2022-01-31 14:56:01.083221	15.71	65.10	1
2022-01-31 14:56:01.184194	14.90	64.69	1
2022-01-31 14:56:01.285164	15.31	64.94	1
2022-01-31 14:56:01.386088	15.23	65.58	1
2022-01-31 14:56:01.487013	14.99	64.69	1
2022-01-31 14:56:01.588081	15.31	65.34	1
2022-01-31 14:56:01.689015	15.39	64.94	1
2022-01-31 14:56:01.789922	15.39	64.86	1
2022-01-31 14:56:01.890815	14.99	65.50	1
2022-01-31 14:56:01.991712	14.90	64.86	1
2022-01-31 14:56:02.092704	15.55	65.10	1
2022-01-31 14:56:02.193656	14.99	65.26	1
2022-01-31 14:56:02.294579	15.15	65.26	1
2022-01-31 14:56:02.395499	15.07	64.86	1
2022-01-31 14:56:02.496444	14.90	65.58	1
2022-01-31 14:56:02.597464	14.74	64.94	1
2022-01-31 14:56:02.698365	14.90	64.78	1
2022-01-31 14:56:02.799260	15.39	64.45	1
2022-01-31 14:56:02.900244	15.07	65.34	1
2022-01-31 14:56:03.001150	15.23	65.26	1
2022-01-31 14:56:03.102150	14.99	64.69	1
2022-01-31 14:56:03.203068	15.31	65.02	1
2022-01-31 14:56:03.303998	13.94	65.66	1
2022-01-31 14:56:03.404897	14.99	64.29	1
2022-01-31 14:56:03.505818	14.74	64.94	1
2022-01-31 14:56:03.606793	14.99	65.50	1
2022-01-31 14:56:03.707719	15.07	64.53	1
2022-01-31 14:56:03.808624	15.15	64.53	1
2022-01-31 14:56:03.909514	15.39	64.78	1
2022-01-31 14:56:04.010402	15.47	65.42	1
2022-01-31 14:56:04.111403	15.15	65.26	1
2022-01-31 14:56:04.212335	15.55	65.02	1
2022-01-31 14:56:04.313238	15.23	65.18	1
2022-01-31 14:56:04.414129	15.47	63.81	1
2022-01-31 14:56:04.515026	14.99	63.89	1
2022-01-31 14:56:04.616092	15.23	65.66	1
2022-01-31 14:56:04.717002	14.90	64.86	1
2022-01-31 14:56:04.817906	14.82	64.78	1
2022-01-31 14:56:04.918807	14.90	65.02	1
2022-01-31 14:56:05.019723	15.39	64.29	1
2022-01-31 14:56:05.120727	15.55	64.94	1
2022-01-31 14:56:05.221666	14.99	65.10	1
2022-01-31 14:56:05.322572	15.31	65.66	1
2022-01-31 14:56:05.423480	15.31	65.18	1
2022-01-31 14:56:05.524487	15.15	65.02	1
2022-01-31 14:56:05.626499	15.07	65.02	1
2022-01-31 14:56:05.728561	15.47	64.37	1
2022-01-31 14:56:05.830498	15.55	65.74	1
2022-01-31 14:56:05.932503	15.95	64.78	1
