#time	analog (mA)	digital (mA)	status
2022-01-26 13:33:30.195618	14.10	69.29	1
2022-01-26 13:33:30.296733	13.45	69.53	1
2022-01-26 13:33:30.397667	14.42	68.88	1
2022-01-26 13:33:30.498569	13.78	69.13	1
2022-01-26 13:33:30.599474	13.62	68.80	1
2022-01-26 13:33:30.700441	14.18	68.56	1
2022-01-26 13:33:30.801429	13.45	68.56	1
2022-01-26 13:33:30.902344	14.02	69.45	1
2022-01-26 13:33:31.003259	13.78	68.72	1
2022-01-26 13:33:31.104201	13.70	69.61	1
2022-01-26 13:33:31.205112	14.02	69.21	1
2022-01-26 13:33:31.306108	14.18	68.96	1
2022-01-26 13:33:31.407021	13.86	68.96	1
2022-01-26 13:33:31.507928	14.34	69.69	1
2022-01-26 13:33:31.608831	14.42	68.80	1
2022-01-26 13:33:31.709732	14.58	69.61	1
2022-01-26 13:33:31.810714	14.26	69.13	1
2022-01-26 13:33:31.911644	14.10	69.13	1
2022-01-26 13:33:32.012566	13.45	69.05	1
2022-01-26 13:33:32.113460	13.78	68.16	1
2022-01-26 13:33:32.214361	14.10	69.21	1
2022-01-26 13:33:32.315357	13.70	68.64	1
2022-01-26 13:33:32.416289	14.18	69.21	1
2022-01-26 13:33:32.517200	13.86	69.29	1
2022-01-26 13:33:32.618095	14.34	68.80	1
2022-01-26 13:33:32.718994	13.54	68.56	1
2022-01-26 13:33:32.819991	14.02	69.13	1
2022-01-26 13:33:32.920930	14.02	68.72	1
2022-01-26 13:33:33.021842	13.94	68.80	1
2022-01-26 13:33:33.122744	14.10	68.88	1
2022-01-26 13:33:33.223667	14.18	69.77	1
2022-01-26 13:33:33.324665	13.29	69.29	1
2022-01-26 13:33:33.425579	13.94	68.88	1
2022-01-26 13:33:33.526477	14.34	69.05	1
2022-01-26 13:33:33.627396	13.94	69.69	1
2022-01-26 13:33:33.728308	14.34	68.88	1
2022-01-26 13:33:33.829298	13.54	69.53	1
2022-01-26 13:33:33.930209	13.78	68.32	1
2022-01-26 13:33:34.031115	13.37	69.21	1
2022-01-26 13:33:34.132033	14.82	69.13	1
2022-01-26 13:33:34.232930	13.94	69.29	1
2022-01-26 13:33:34.333908	13.29	68.88	1
2022-01-26 13:33:34.434817	13.78	69.37	1
2022-01-26 13:33:34.535718	14.66	68.32	1
2022-01-26 13:33:34.636615	13.54	69.45	1
2022-01-26 13:33:34.737592	14.58	68.24	1
2022-01-26 13:33:34.839661	13.29	69.77	1
2022-01-26 13:33:34.941681	13.62	69.61	1
2022-01-26 13:33:35.043680	13.37	68.96	1
2022-01-26 13:33:35.145768	14.18	68.40	1
